,BD1,BD2
78,-0.015625,0.015625
79,-0.015625,-0.015625
80,-0.015625,0.015625
81,-0.015625,-0.015625
82,-0.015625,-0.015625
83,0.015625,-0.015625
84,0.015625,0.015625
85,-0.015625,-0.015625
86,0.015625,-0.015625
87,-0.015625,0.015625
88,0.015625,0.015625
89,0.015625,0.015625
90,-0.015625,-0.015625
91,0.015625,-0.015625
92,-0.015625,0.015625
93,0.015625,-0.015625
94,-0.015625,-0.015625
95,-0.015625,0.015625
96,0.015625,-0.015625
97,0.015625,0.015625
98,0.015625,0.015625
99,0.015625,-0.015625
100,0.015625,-0.015625
101,0.015625,-0.015625
102,0.015625,0.015625
103,0.015625,0.015625
104,0.015625,-0.015625
105,-0.015625,0.015625
106,-0.015625,-0.015625
107,-0.015625,-0.015625
108,0.015625,0.015625
109,0.015625,-0.015625
110,-0.015625,-0.015625
111,0.015625,-0.015625
112,0.015625,-0.015625
113,0.015625,-0.015625
114,0.015625,0.015625
115,0.015625,0.015625
116,0.015625,0.015625
117,0.015625,0.015625
118,0.015625,0.015625
119,0.015625,0.015625
120,0.015625,0.015625
121,0.015625,0.015625
122,0.015625,0.015625
123,0.015625,0.015625
124,0.015625,0.015625
125,0.015625,-0.015625
126,0.015625,0.015625
127,0.015625,-0.015625
128,-0.015625,0.015625
129,-0.015625,0.015625
130,-0.015625,0.015625
131,-0.015625,-0.015625
132,0.015625,0.015625
133,-0.015625,0.015625
134,0.015625,0.015625
135,0.015625,-0.015625
136,-0.015625,0.015625
137,0.015625,0.015625
138,-0.015625,0.015625
139,-0.015625,-0.015625
140,-0.015625,-0.015625
141,-0.015625,0.015625
142,-0.015625,-0.015625
143,-0.015625,-0.015625
144,-0.015625,0.015625
145,0.015625,-0.015625
146,0.015625,0.015625
147,-0.015625,-0.015625
148,-0.015625,-0.015625
149,0.015625,-0.015625
150,0.015625,-0.015625
151,0.015625,-0.015625
152,-0.015625,-0.015625
153,-0.015625,-0.015625
154,-0.015625,-0.015625
155,0.015625,-0.015625
156,-0.015625,-0.015625
157,0.015625,0.015625
158,0.015625,-0.015625
159,-0.015625,0.015625
160,0.015625,0.015625
161,0.015625,0.015625
162,0.015625,-0.015625
163,0.015625,-0.015625
164,0.015625,-0.015625
165,0.015625,-0.015625
166,-0.015625,-0.015625
167,0.015625,0.015625
168,0.015625,-0.015625
169,-0.015625,0.015625
170,0.015625,-0.015625
171,0.015625,-0.015625
172,-0.015625,0.015625
173,0.015625,0.015625
174,-0.015625,0.015625
175,-0.015625,-0.015625
176,-0.015625,-0.015625
177,0.015625,0.015625
178,0.015625,-0.015625
179,0.015625,0.015625
180,0.015625,0.015625
181,0.015625,0.015625
182,0.015625,0.015625
183,0.015625,0.015625
184,0.015625,0.015625
185,0.015625,0.015625
186,0.015625,0.015625
187,0.015625,0.015625
188,0.015625,0.015625
189,0.015625,-0.015625
190,0.015625,0.015625
191,0.015625,-0.015625
192,-0.015625,0.015625
193,0.015625,-0.015625
194,-0.015625,-0.015625
195,-0.015625,0.015625
196,0.015625,0.015625
197,0.015625,-0.015625
198,0.015625,-0.015625
199,-0.015625,0.015625
200,0.015625,0.015625
201,0.015625,0.015625
202,0.015625,0.015625
203,-0.015625,0.015625
204,0.015625,0.015625
205,0.015625,-0.015625
206,0.015625,0.015625
207,-0.015625,0.015625
208,0.015625,0.015625
209,0.015625,0.015625
210,-0.015625,0.015625
211,0.015625,-0.015625
212,-0.015625,-0.015625
213,0.015625,-0.015625
214,-0.015625,-0.015625
215,0.015625,-0.015625
216,0.015625,-0.015625
217,-0.015625,-0.015625
218,0.015625,-0.015625
219,-0.015625,0.015625
220,0.015625,0.015625
221,0.015625,0.015625
222,0.015625,-0.015625
223,0.015625,-0.015625
224,-0.015625,-0.015625
225,0.015625,-0.015625
226,0.015625,-0.015625
227,0.015625,0.015625
228,-0.015625,-0.015625
229,-0.015625,-0.015625
230,-0.015625,0.015625
231,0.015625,-0.015625
232,0.015625,-0.015625
233,0.015625,0.015625
234,0.015625,-0.015625
235,0.015625,-0.015625
236,0.015625,-0.015625
237,0.015625,-0.015625
238,-0.015625,-0.015625
239,-0.015625,-0.015625
240,-0.015625,-0.015625
241,0.015625,-0.015625
242,0.015625,0.015625
243,0.015625,-0.015625
244,0.015625,-0.015625
245,0.015625,-0.015625
246,0.015625,0.015625
247,0.015625,0.015625
248,0.015625,0.015625
249,0.015625,0.015625
250,0.015625,0.015625
251,0.015625,0.015625
252,0.015625,-0.015625
253,0.015625,0.015625
254,0.015625,-0.015625
255,0.015625,-0.015625
256,0.015625,0.015625
257,-0.015625,0.015625
258,-0.015625,0.015625
259,0.015625,0.015625
260,0.015625,0.015625
261,-0.015625,0.015625
262,0.015625,0.015625
263,-0.015625,0.015625
264,0.015625,0.015625
265,0.015625,0.015625
266,-0.015625,0.015625
267,0.015625,0.015625
268,0.015625,0.015625
269,0.015625,0.015625
270,-0.015625,-0.015625
271,0.015625,0.015625
272,0.015625,0.015625
273,-0.015625,0.015625
274,0.015625,0.015625
275,-0.015625,-0.015625
276,0.015625,-0.015625
277,0.015625,-0.015625
278,0.015625,0.015625
279,0.015625,-0.015625
280,0.015625,-0.015625
281,0.015625,0.015625
282,-0.015625,-0.015625
283,-0.015625,0.015625
284,-0.015625,0.015625
285,0.015625,0.015625
286,-0.015625,0.015625
287,0.015625,-0.015625
288,0.015625,0.015625
289,0.015625,-0.015625
290,0.015625,-0.015625
291,-0.015625,0.015625
292,-0.015625,-0.015625
293,-0.015625,0.015625
294,0.015625,-0.015625
295,0.015625,-0.015625
296,0.015625,-0.015625
297,0.015625,0.015625
298,0.015625,-0.015625
299,-0.015625,-0.015625
300,0.015625,-0.015625
301,-0.015625,-0.015625
302,-0.015625,0.015625
303,-0.015625,-0.015625
304,-0.015625,-0.015625
305,0.015625,-0.015625
306,-0.015625,-0.015625
307,0.015625,-0.015625
308,0.015625,-0.015625
309,0.015625,0.015625
310,0.015625,0.015625
311,0.015625,0.015625
312,0.015625,0.015625
313,0.015625,0.015625
314,0.015625,0.015625
315,0.015625,-0.015625
316,0.015625,0.015625
317,-0.015625,-0.015625
318,0.015625,0.015625
319,-0.015625,-0.015625
320,-0.015625,0.015625
321,0.015625,0.015625
322,-0.015625,0.015625
323,-0.015625,0.015625
324,-0.015625,0.015625
325,0.015625,-0.015625
326,-0.015625,-0.015625
327,-0.015625,0.015625
328,-0.015625,0.015625
329,-0.015625,0.015625
330,0.015625,0.015625
331,-0.015625,0.015625
332,0.015625,0.015625
333,-0.015625,0.015625
334,-0.015625,0.015625
335,0.015625,0.015625
336,-0.015625,0.015625
337,-0.015625,0.015625
338,-0.015625,0.015625
339,-0.015625,-0.015625
340,0.015625,-0.015625
341,0.015625,-0.015625
342,-0.015625,-0.015625
343,0.015625,-0.015625
344,-0.015625,0.015625
345,0.015625,-0.015625
346,-0.015625,-0.015625
347,-0.015625,0.015625
348,-0.015625,0.015625
349,-0.015625,-0.015625
350,-0.015625,-0.015625
351,0.015625,0.015625
352,-0.015625,-0.015625
353,0.015625,0.015625
354,0.015625,-0.015625
355,0.015625,-0.015625
356,0.015625,-0.015625
357,-0.015625,0.015625
358,0.015625,0.015625
359,0.015625,-0.015625
360,0.015625,-0.015625
361,0.015625,0.015625
362,0.015625,0.015625
363,0.015625,-0.015625
364,-0.015625,0.015625
365,-0.015625,-0.015625
366,-0.015625,-0.015625
367,-0.015625,0.015625
368,-0.015625,-0.015625
369,-0.015625,0.015625
370,-0.015625,-0.015625
371,0.015625,-0.015625
372,0.015625,-0.015625
373,0.015625,-0.015625
374,0.015625,-0.015625
375,0.015625,0.015625
376,0.015625,0.015625
377,0.015625,0.015625
378,0.015625,-0.015625
379,0.015625,0.015625
380,0.015625,-0.015625
381,0.015625,0.015625
382,-0.015625,0.015625
383,-0.015625,-0.015625
384,0.015625,0.015625
385,-0.015625,0.015625
386,-0.015625,0.015625
387,-0.015625,0.015625
388,-0.015625,0.015625
389,-0.015625,-0.015625
390,-0.015625,-0.015625
391,-0.015625,-0.015625
392,-0.015625,0.015625
393,-0.015625,0.015625
394,-0.015625,0.015625
395,-0.015625,0.015625
396,-0.015625,0.015625
397,-0.015625,0.015625
398,-0.015625,0.015625
399,0.015625,0.015625
400,-0.015625,0.015625
401,-0.015625,-0.015625
402,0.015625,-0.015625
403,0.015625,-0.015625
404,-0.015625,-0.015625
405,0.015625,-0.015625
406,-0.015625,0.015625
407,-0.015625,0.015625
408,-0.015625,0.015625
409,0.015625,-0.015625
410,0.015625,-0.015625
411,0.015625,-0.015625
412,-0.015625,0.015625
413,0.015625,-0.015625
414,0.015625,-0.015625
415,-0.015625,-0.015625
416,0.015625,-0.015625
417,0.015625,0.015625
418,-0.015625,-0.015625
419,0.015625,-0.015625
420,-0.015625,-0.015625
421,0.015625,0.015625
422,0.015625,-0.015625
423,0.015625,0.015625
424,0.015625,-0.015625
425,0.015625,-0.015625
426,-0.015625,-0.015625
427,-0.015625,-0.015625
428,0.015625,0.015625
429,0.015625,0.015625
430,-0.015625,-0.015625
431,-0.015625,-0.015625
432,-0.015625,0.015625
433,-0.015625,-0.015625
434,0.015625,-0.015625
435,-0.015625,0.015625
436,-0.015625,-0.015625
437,0.015625,-0.015625
438,0.015625,-0.015625
439,0.015625,-0.015625
440,0.015625,-0.015625
441,0.015625,0.015625
442,0.015625,0.015625
443,0.015625,-0.015625
444,0.015625,-0.015625
445,0.015625,-0.015625
446,-0.015625,-0.015625
447,-0.015625,-0.015625
448,0.015625,0.015625
449,0.015625,0.015625
450,0.015625,0.015625
451,-0.015625,0.015625
452,-0.015625,0.015625
453,0.015625,0.015625
454,0.015625,-0.015625
455,-0.015625,-0.015625
456,-0.015625,0.015625
457,-0.015625,0.015625
458,-0.015625,0.015625
459,-0.015625,0.015625
460,0.015625,0.015625
461,-0.015625,0.015625
462,0.015625,0.015625
463,-0.015625,0.015625
464,-0.015625,0.015625
465,-0.015625,-0.015625
466,-0.015625,-0.015625
467,0.015625,-0.015625
468,0.015625,-0.015625
469,-0.015625,0.015625
470,-0.015625,-0.015625
471,0.015625,-0.015625
472,0.015625,-0.015625
473,0.015625,-0.015625
474,0.015625,-0.015625
475,-0.015625,0.015625
476,0.015625,0.015625
477,0.015625,-0.015625
478,-0.015625,-0.015625
479,-0.015625,0.015625
480,-0.015625,-0.015625
481,0.015625,-0.015625
482,-0.015625,0.015625
483,-0.015625,-0.015625
484,-0.015625,-0.015625
485,-0.015625,-0.015625
486,-0.015625,-0.015625
487,-0.015625,0.015625
488,0.015625,0.015625
489,0.015625,0.015625
490,-0.015625,0.015625
491,-0.015625,-0.015625
492,-0.015625,0.015625
493,-0.015625,0.015625
494,-0.015625,-0.015625
495,0.015625,-0.015625
496,-0.015625,-0.015625
497,0.015625,-0.015625
498,-0.015625,-0.015625
499,-0.015625,-0.015625
500,0.015625,-0.015625
501,0.015625,-0.015625
502,0.015625,0.015625
503,0.015625,-0.015625
504,0.015625,0.015625
505,0.015625,0.015625
506,0.015625,0.015625
507,0.015625,-0.015625
508,-0.015625,-0.015625
509,0.015625,-0.015625
510,-0.015625,-0.015625
511,0.015625,-0.015625
512,0.015625,0.015625
513,0.015625,0.015625
514,-0.015625,0.015625
515,0.015625,0.015625
516,0.015625,0.015625
517,0.015625,0.015625
518,-0.015625,0.015625
519,-0.015625,0.015625
520,-0.015625,0.015625
521,-0.015625,0.015625
522,-0.015625,0.015625
