chip_name,y,x,high_bias_magnitude
BD1,16,5,False
BD1,16,6,False
BD1,16,7,False
BD1,16,8,False
BD1,16,9,False
BD1,16,10,False
BD1,16,11,True
BD1,16,12,False
BD1,16,13,False
BD1,16,14,False
BD1,16,15,True
BD1,16,16,True
BD1,16,17,False
BD1,16,18,False
BD1,16,19,False
BD1,16,20,False
BD1,16,21,False
BD1,16,22,False
BD1,16,23,False
BD1,16,24,False
BD1,16,25,False
BD1,16,26,False
BD1,16,27,False
BD1,16,28,False
BD1,16,29,False
BD1,16,30,False
BD1,16,31,False
BD1,17,0,True
BD1,17,1,False
BD1,17,2,True
BD1,17,3,False
BD1,17,4,True
BD1,17,5,False
BD1,17,6,False
BD1,17,7,False
BD1,17,8,False
BD1,17,9,False
BD1,17,10,False
BD1,17,11,False
BD1,17,12,True
BD1,17,13,True
BD1,17,14,False
BD1,17,15,False
BD1,17,16,False
BD1,17,17,False
BD1,17,18,False
BD1,17,19,True
BD1,17,20,False
BD1,17,21,False
BD1,17,22,False
BD1,17,23,True
BD1,17,24,False
BD1,17,25,False
BD1,17,26,False
BD1,17,27,False
BD1,17,28,True
BD1,17,29,False
BD1,17,30,True
BD1,17,31,False
BD1,18,0,False
BD1,18,1,False
BD1,18,2,False
BD1,18,3,False
BD1,18,4,False
BD1,18,5,False
BD1,18,6,False
BD1,18,7,False
BD1,18,8,True
BD1,18,9,False
BD1,18,10,True
BD1,18,11,True
BD1,18,12,True
BD1,18,13,False
BD1,18,14,False
BD1,18,15,False
BD1,18,16,False
BD1,18,17,True
BD1,18,18,False
BD1,18,19,False
BD1,18,20,True
BD1,18,21,False
BD1,18,22,False
BD1,18,23,False
BD1,18,24,True
BD1,18,25,True
BD1,18,26,False
BD1,18,27,False
BD1,18,28,False
BD1,18,29,True
BD1,18,30,False
BD1,18,31,False
BD1,19,0,False
BD1,19,1,False
BD1,19,2,False
BD1,19,3,False
BD1,19,4,False
BD1,19,5,False
BD1,19,6,False
BD1,19,7,False
BD1,19,8,True
BD1,19,9,True
BD1,19,10,False
BD1,19,11,False
BD1,19,12,False
BD1,19,13,False
BD1,19,14,False
BD1,19,15,True
BD1,19,16,False
BD1,19,17,False
BD1,19,18,True
BD1,19,19,False
BD1,19,20,False
BD1,19,21,False
BD1,19,22,False
BD1,19,23,False
BD1,19,24,False
BD1,19,25,False
BD1,19,26,False
BD1,19,27,False
BD1,19,28,True
BD1,19,29,False
BD1,19,30,True
BD1,19,31,False
BD1,20,0,True
BD1,20,1,False
BD1,20,2,False
BD1,20,3,False
BD1,20,4,False
BD1,20,5,False
BD1,20,6,True
BD1,20,7,False
BD1,20,8,True
BD1,20,9,False
BD1,20,10,True
BD1,20,11,False
BD1,20,12,False
BD1,20,13,False
BD1,20,14,False
BD1,20,15,False
BD1,20,16,True
BD1,20,17,True
BD1,20,18,True
BD1,20,19,False
BD1,20,20,False
BD1,20,21,False
BD1,20,22,False
BD1,20,23,False
BD1,20,24,False
BD1,20,25,False
BD1,20,26,True
BD1,20,27,False
BD1,20,28,False
BD1,20,29,True
BD1,20,30,False
BD1,20,31,False
BD1,21,0,False
BD1,21,1,False
BD1,21,2,False
BD1,21,3,True
BD1,21,4,True
BD1,21,5,False
BD1,21,6,False
BD1,21,7,False
BD1,21,8,False
BD1,21,9,False
BD1,21,10,False
BD1,21,11,True
BD1,21,12,False
